episode:,reward,epsilon
0,0.0,0.95
0,20.50773583259881,0.9
1,33.64010039905776,0.898335222
2,-5.151038031157313,0.8966748880000001
3,-30.76068758204518,0.8950189980000001
4,-91.95182611952139,0.8933675520000001
5,48.899848506661414,0.8917205500000001
6,28.44721257185624,0.890077992
7,-1.060798814033049,0.888439878
8,492.47353171032097,0.886806208
9,-54.382304010101564,0.8851769820000001
10,86.50097838081444,0.8835522
11,15.24225285399416,0.8819318620000001
12,-21.69359488077481,0.880315968
13,40.060077147239554,0.878704518
14,50.80034932183001,0.877097512
15,65.63393002174307,0.87549495
16,-4.379834902419205,0.873896832
17,499.67654074875884,0.872303158
18,-7.0600598798158245,0.870713928
19,-29.308822085974526,0.869129142
20,13.204959078129207,0.8675488
21,43.118766326365396,0.865972902
22,5.425672334849622,0.8644014480000001
23,-66.12289409559996,0.862834438
24,12.629348645069385,0.861271872
25,65.41915160846922,0.85971375
26,-46.04361752134028,0.858160072
27,72.43485943980315,0.856610838
28,492.4082868620194,0.8550660480000001
29,496.23400835534426,0.853525702
30,83.35924848623516,0.8519898
31,-8.285026165898813,0.850458342
32,493.53664973002327,0.848931328
33,90.13110742175327,0.847408758
34,75.08537214773338,0.845890632
35,86.08445792358238,0.84437695
36,91.14259081930683,0.842867712
37,88.72436568793036,0.841362918
38,499.6584907378338,0.839862568
39,56.51641310334019,0.838366662
40,483.3036668116855,0.8368752
41,80.28595494537491,0.835388182
42,81.64257559113318,0.833905608
43,96.71730950948637,0.832427478
44,47.806401827312314,0.8309537920000001
45,98.45441028185385,0.82948455
46,57.0432894038826,0.828019752
47,11.254835989990084,0.826559398
48,1.5911768725534756,0.825103488
49,5.822394876552806,0.823652022
50,499.764949205879,0.8222050000000001
51,495.5736929260416,0.820762422
52,79.86968424629188,0.819324288
53,93.6073949882807,0.817890598
54,444.09999715499015,0.816461352
55,499.22539877297027,0.8150365500000001
56,498.71711382750647,0.813616192
57,95.97703746081679,0.812200278
58,499.0773747299395,0.810788808
59,-91.935956576576,0.809381782
60,498.97995967217054,0.8079792
61,69.62441818313106,0.806581062
62,23.819352349815787,0.805187368
63,-157.8048069607924,0.803798118
64,91.0649336938367,0.802413312
65,33.65786456047613,0.80103295
66,41.0112222788343,0.799657032
67,26.376973251631483,0.798285558
68,50.62218337045039,0.796918528
69,481.8570719091298,0.795555942
70,22.08467074890295,0.7941978000000001
71,37.262535741989915,0.792844102
